GEOID,NAME,variable,estimate,moe
04013010101,"Census Tract 101.01, Maricopa County, Arizona",total_pop,276,NA
04013010101,"Census Tract 101.01, Maricopa County, Arizona",med_age,52.5,3.5
04013010101,"Census Tract 101.01, Maricopa County, Arizona",med_income,108397,10572
04013010102,"Census Tract 101.02, Maricopa County, Arizona",total_pop,214,NA
04013010102,"Census Tract 101.02, Maricopa County, Arizona",med_age,60.8,1.4
04013010102,"Census Tract 101.02, Maricopa County, Arizona",med_income,138425,21151
04013030401,"Census Tract 304.01, Maricopa County, Arizona",total_pop,153,NA
04013030401,"Census Tract 304.01, Maricopa County, Arizona",med_age,62,3.6
04013030401,"Census Tract 304.01, Maricopa County, Arizona",med_income,90476,18291
04013030402,"Census Tract 304.02, Maricopa County, Arizona",total_pop,239,NA
04013030402,"Census Tract 304.02, Maricopa County, Arizona",med_age,54.4,3.1
04013030402,"Census Tract 304.02, Maricopa County, Arizona",med_income,78782,15547
04013040502,"Census Tract 405.02, Maricopa County, Arizona",total_pop,274,NA
04013040502,"Census Tract 405.02, Maricopa County, Arizona",med_age,47.9,4.8
04013040502,"Census Tract 405.02, Maricopa County, Arizona",med_income,34732,8814
04013040506,"Census Tract 405.06, Maricopa County, Arizona",total_pop,335,NA
04013040506,"Census Tract 405.06, Maricopa County, Arizona",med_age,73,1.4
04013040506,"Census Tract 405.06, Maricopa County, Arizona",med_income,38125,3144
04013040507,"Census Tract 405.07, Maricopa County, Arizona",total_pop,413,NA
04013040507,"Census Tract 405.07, Maricopa County, Arizona",med_age,77.3,2.3
04013040507,"Census Tract 405.07, Maricopa County, Arizona",med_income,40609,3888
04013040512,"Census Tract 405.12, Maricopa County, Arizona",total_pop,181,NA
04013040512,"Census Tract 405.12, Maricopa County, Arizona",med_age,76.3,1.6
04013040512,"Census Tract 405.12, Maricopa County, Arizona",med_income,50759,8254
04013040513,"Census Tract 405.13, Maricopa County, Arizona",total_pop,237,NA
04013040513,"Census Tract 405.13, Maricopa County, Arizona",med_age,75.2,2.2
04013040513,"Census Tract 405.13, Maricopa County, Arizona",med_income,55288,5837
04013040514,"Census Tract 405.14, Maricopa County, Arizona",total_pop,223,NA
04013040514,"Census Tract 405.14, Maricopa County, Arizona",med_age,73.7,1.7
04013040514,"Census Tract 405.14, Maricopa County, Arizona",med_income,45747,5948
04013040515,"Census Tract 405.15, Maricopa County, Arizona",total_pop,323,NA
04013040515,"Census Tract 405.15, Maricopa County, Arizona",med_age,58.2,4.5
04013040515,"Census Tract 405.15, Maricopa County, Arizona",med_income,48890,3127
04013040516,"Census Tract 405.16, Maricopa County, Arizona",total_pop,219,NA
04013040516,"Census Tract 405.16, Maricopa County, Arizona",med_age,62.5,1.1
04013040516,"Census Tract 405.16, Maricopa County, Arizona",med_income,70833,11996
04013040517,"Census Tract 405.17, Maricopa County, Arizona",total_pop,416,NA
04013040517,"Census Tract 405.17, Maricopa County, Arizona",med_age,35.1,3.1
04013040517,"Census Tract 405.17, Maricopa County, Arizona",med_income,41929,5468
04013040518,"Census Tract 405.18, Maricopa County, Arizona",total_pop,365,NA
04013040518,"Census Tract 405.18, Maricopa County, Arizona",med_age,31.7,4.3
04013040518,"Census Tract 405.18, Maricopa County, Arizona",med_income,58807,4810
04013040519,"Census Tract 405.19, Maricopa County, Arizona",total_pop,283,NA
04013040519,"Census Tract 405.19, Maricopa County, Arizona",med_age,58.8,2.9
04013040519,"Census Tract 405.19, Maricopa County, Arizona",med_income,79272,12374
04013040520,"Census Tract 405.20, Maricopa County, Arizona",total_pop,236,NA
04013040520,"Census Tract 405.20, Maricopa County, Arizona",med_age,33.3,8.7
04013040520,"Census Tract 405.20, Maricopa County, Arizona",med_income,105238,47977
04013040521,"Census Tract 405.21, Maricopa County, Arizona",total_pop,291,NA
04013040521,"Census Tract 405.21, Maricopa County, Arizona",med_age,29.2,1.9
04013040521,"Census Tract 405.21, Maricopa County, Arizona",med_income,90183,14458
04013040522,"Census Tract 405.22, Maricopa County, Arizona",total_pop,245,NA
04013040522,"Census Tract 405.22, Maricopa County, Arizona",med_age,75.6,1.2
04013040522,"Census Tract 405.22, Maricopa County, Arizona",med_income,51002,7215
04013040523,"Census Tract 405.23, Maricopa County, Arizona",total_pop,238,NA
04013040523,"Census Tract 405.23, Maricopa County, Arizona",med_age,68,1.1
04013040523,"Census Tract 405.23, Maricopa County, Arizona",med_income,68143,7933
04013040524,"Census Tract 405.24, Maricopa County, Arizona",total_pop,146,NA
04013040524,"Census Tract 405.24, Maricopa County, Arizona",med_age,67.7,1.7
04013040524,"Census Tract 405.24, Maricopa County, Arizona",med_income,65000,12378
04013040525,"Census Tract 405.25, Maricopa County, Arizona",total_pop,242,NA
04013040525,"Census Tract 405.25, Maricopa County, Arizona",med_age,69.7,0.6
04013040525,"Census Tract 405.25, Maricopa County, Arizona",med_income,54773,7109
04013040526,"Census Tract 405.26, Maricopa County, Arizona",total_pop,163,NA
04013040526,"Census Tract 405.26, Maricopa County, Arizona",med_age,70.8,1.5
04013040526,"Census Tract 405.26, Maricopa County, Arizona",med_income,56282,5117
04013040527,"Census Tract 405.27, Maricopa County, Arizona",total_pop,238,NA
04013040527,"Census Tract 405.27, Maricopa County, Arizona",med_age,49.9,9.5
04013040527,"Census Tract 405.27, Maricopa County, Arizona",med_income,47153,10608
04013040528,"Census Tract 405.28, Maricopa County, Arizona",total_pop,387,NA
04013040528,"Census Tract 405.28, Maricopa County, Arizona",med_age,70.8,0.9
04013040528,"Census Tract 405.28, Maricopa County, Arizona",med_income,50592,6096
04013040529,"Census Tract 405.29, Maricopa County, Arizona",total_pop,227,NA
04013040529,"Census Tract 405.29, Maricopa County, Arizona",med_age,71.3,1
04013040529,"Census Tract 405.29, Maricopa County, Arizona",med_income,46403,3463
04013040530,"Census Tract 405.30, Maricopa County, Arizona",total_pop,254,NA
04013040530,"Census Tract 405.30, Maricopa County, Arizona",med_age,32.5,2.7
04013040530,"Census Tract 405.30, Maricopa County, Arizona",med_income,51431,3881
04013040531,"Census Tract 405.31, Maricopa County, Arizona",total_pop,204,NA
04013040531,"Census Tract 405.31, Maricopa County, Arizona",med_age,53.2,5.1
04013040531,"Census Tract 405.31, Maricopa County, Arizona",med_income,34784,6827
04013050603,"Census Tract 506.03, Maricopa County, Arizona",total_pop,334,NA
04013050603,"Census Tract 506.03, Maricopa County, Arizona",med_age,34.9,6.2
04013050603,"Census Tract 506.03, Maricopa County, Arizona",med_income,54750,14560
04013050604,"Census Tract 506.04, Maricopa County, Arizona",total_pop,306,NA
04013050604,"Census Tract 506.04, Maricopa County, Arizona",med_age,34.6,4.9
04013050604,"Census Tract 506.04, Maricopa County, Arizona",med_income,51364,23154
04013050605,"Census Tract 506.05, Maricopa County, Arizona",total_pop,554,NA
04013050605,"Census Tract 506.05, Maricopa County, Arizona",med_age,32.9,2.6
04013050605,"Census Tract 506.05, Maricopa County, Arizona",med_income,67819,7182
04013050606,"Census Tract 506.06, Maricopa County, Arizona",total_pop,326,NA
04013050606,"Census Tract 506.06, Maricopa County, Arizona",med_age,37.9,4.5
04013050606,"Census Tract 506.06, Maricopa County, Arizona",med_income,74598,12247
04013050607,"Census Tract 506.07, Maricopa County, Arizona",total_pop,448,NA
04013050607,"Census Tract 506.07, Maricopa County, Arizona",med_age,29.2,2.1
04013050607,"Census Tract 506.07, Maricopa County, Arizona",med_income,63598,8646
