GEOID,NAME,variable,estimate,moe
04013010101,"Census Tract 101.01, Maricopa County, Arizona",white,5052,705
04013010101,"Census Tract 101.01, Maricopa County, Arizona",black,0,18
04013010101,"Census Tract 101.01, Maricopa County, Arizona",native,17,26
04013010101,"Census Tract 101.01, Maricopa County, Arizona",asian,26,29
04013010101,"Census Tract 101.01, Maricopa County, Arizona",hispanic,39,66
04013010102,"Census Tract 101.02, Maricopa County, Arizona",white,3703,698
04013010102,"Census Tract 101.02, Maricopa County, Arizona",black,25,41
04013010102,"Census Tract 101.02, Maricopa County, Arizona",native,18,34
04013010102,"Census Tract 101.02, Maricopa County, Arizona",asian,74,64
04013010102,"Census Tract 101.02, Maricopa County, Arizona",hispanic,89,72
04013030401,"Census Tract 304.01, Maricopa County, Arizona",white,3670,469
04013030401,"Census Tract 304.01, Maricopa County, Arizona",black,0,13
04013030401,"Census Tract 304.01, Maricopa County, Arizona",native,0,13
04013030401,"Census Tract 304.01, Maricopa County, Arizona",asian,71,110
04013030401,"Census Tract 304.01, Maricopa County, Arizona",hispanic,185,197
04013030402,"Census Tract 304.02, Maricopa County, Arizona",white,3456,315
04013030402,"Census Tract 304.02, Maricopa County, Arizona",black,12,19
04013030402,"Census Tract 304.02, Maricopa County, Arizona",native,7,11
04013030402,"Census Tract 304.02, Maricopa County, Arizona",asian,27,70
04013030402,"Census Tract 304.02, Maricopa County, Arizona",hispanic,173,131
04013040502,"Census Tract 405.02, Maricopa County, Arizona",white,4164,450
04013040502,"Census Tract 405.02, Maricopa County, Arizona",black,74,121
04013040502,"Census Tract 405.02, Maricopa County, Arizona",native,32,35
04013040502,"Census Tract 405.02, Maricopa County, Arizona",asian,2,6
04013040502,"Census Tract 405.02, Maricopa County, Arizona",hispanic,759,296
04013040506,"Census Tract 405.06, Maricopa County, Arizona",white,5233,397
04013040506,"Census Tract 405.06, Maricopa County, Arizona",black,2,4
04013040506,"Census Tract 405.06, Maricopa County, Arizona",native,0,18
04013040506,"Census Tract 405.06, Maricopa County, Arizona",asian,0,18
04013040506,"Census Tract 405.06, Maricopa County, Arizona",hispanic,26,43
04013040507,"Census Tract 405.07, Maricopa County, Arizona",white,5994,485
04013040507,"Census Tract 405.07, Maricopa County, Arizona",black,22,22
04013040507,"Census Tract 405.07, Maricopa County, Arizona",native,14,23
04013040507,"Census Tract 405.07, Maricopa County, Arizona",asian,86,83
04013040507,"Census Tract 405.07, Maricopa County, Arizona",hispanic,43,67
04013040512,"Census Tract 405.12, Maricopa County, Arizona",white,1494,154
04013040512,"Census Tract 405.12, Maricopa County, Arizona",black,5,8
04013040512,"Census Tract 405.12, Maricopa County, Arizona",native,4,6
04013040512,"Census Tract 405.12, Maricopa County, Arizona",asian,10,12
04013040512,"Census Tract 405.12, Maricopa County, Arizona",hispanic,28,37
04013040513,"Census Tract 405.13, Maricopa County, Arizona",white,2757,264
04013040513,"Census Tract 405.13, Maricopa County, Arizona",black,40,42
04013040513,"Census Tract 405.13, Maricopa County, Arizona",native,0,13
04013040513,"Census Tract 405.13, Maricopa County, Arizona",asian,0,13
04013040513,"Census Tract 405.13, Maricopa County, Arizona",hispanic,0,13
04013040514,"Census Tract 405.14, Maricopa County, Arizona",white,2814,204
04013040514,"Census Tract 405.14, Maricopa County, Arizona",black,0,13
04013040514,"Census Tract 405.14, Maricopa County, Arizona",native,0,13
04013040514,"Census Tract 405.14, Maricopa County, Arizona",asian,63,57
04013040514,"Census Tract 405.14, Maricopa County, Arizona",hispanic,38,40
04013040515,"Census Tract 405.15, Maricopa County, Arizona",white,3015,529
04013040515,"Census Tract 405.15, Maricopa County, Arizona",black,20,46
04013040515,"Census Tract 405.15, Maricopa County, Arizona",native,12,14
04013040515,"Census Tract 405.15, Maricopa County, Arizona",asian,0,13
04013040515,"Census Tract 405.15, Maricopa County, Arizona",hispanic,1260,473
04013040516,"Census Tract 405.16, Maricopa County, Arizona",white,2820,376
