GEOID,NAME,variable,estimate,moe
04013010101,"Census Tract 101.01, Maricopa County, Arizona",white,4780,514
04013010101,"Census Tract 101.01, Maricopa County, Arizona",black,0,12
04013010101,"Census Tract 101.01, Maricopa County, Arizona",native,15,25
04013010101,"Census Tract 101.01, Maricopa County, Arizona",asian,19,33
04013010101,"Census Tract 101.01, Maricopa County, Arizona",hispanic,78,104
04013010102,"Census Tract 101.02, Maricopa County, Arizona",white,4384,595
04013010102,"Census Tract 101.02, Maricopa County, Arizona",black,25,38
04013010102,"Census Tract 101.02, Maricopa County, Arizona",native,0,12
04013010102,"Census Tract 101.02, Maricopa County, Arizona",asian,134,92
04013010102,"Census Tract 101.02, Maricopa County, Arizona",hispanic,59,47
04013030401,"Census Tract 304.01, Maricopa County, Arizona",white,4302,370
04013030401,"Census Tract 304.01, Maricopa County, Arizona",black,0,12
04013030401,"Census Tract 304.01, Maricopa County, Arizona",native,5,8
04013030401,"Census Tract 304.01, Maricopa County, Arizona",asian,62,100
04013030401,"Census Tract 304.01, Maricopa County, Arizona",hispanic,170,172
04013030402,"Census Tract 304.02, Maricopa County, Arizona",white,3939,303
04013030402,"Census Tract 304.02, Maricopa County, Arizona",black,17,26
04013030402,"Census Tract 304.02, Maricopa County, Arizona",native,77,75
04013030402,"Census Tract 304.02, Maricopa County, Arizona",asian,0,12
04013030402,"Census Tract 304.02, Maricopa County, Arizona",hispanic,121,83
04013040502,"Census Tract 405.02, Maricopa County, Arizona",white,4048,464
04013040502,"Census Tract 405.02, Maricopa County, Arizona",black,0,17
04013040502,"Census Tract 405.02, Maricopa County, Arizona",native,145,228
04013040502,"Census Tract 405.02, Maricopa County, Arizona",asian,4,9
04013040502,"Census Tract 405.02, Maricopa County, Arizona",hispanic,834,384
04013040506,"Census Tract 405.06, Maricopa County, Arizona",white,5289,468
04013040506,"Census Tract 405.06, Maricopa County, Arizona",black,27,43
04013040506,"Census Tract 405.06, Maricopa County, Arizona",native,0,17
04013040506,"Census Tract 405.06, Maricopa County, Arizona",asian,0,17
04013040506,"Census Tract 405.06, Maricopa County, Arizona",hispanic,17,29
04013040507,"Census Tract 405.07, Maricopa County, Arizona",white,6184,439
04013040507,"Census Tract 405.07, Maricopa County, Arizona",black,69,75
04013040507,"Census Tract 405.07, Maricopa County, Arizona",native,35,41
04013040507,"Census Tract 405.07, Maricopa County, Arizona",asian,63,51
04013040507,"Census Tract 405.07, Maricopa County, Arizona",hispanic,29,37
04013040512,"Census Tract 405.12, Maricopa County, Arizona",white,1664,137
04013040512,"Census Tract 405.12, Maricopa County, Arizona",black,16,18
04013040512,"Census Tract 405.12, Maricopa County, Arizona",native,10,15
04013040512,"Census Tract 405.12, Maricopa County, Arizona",asian,14,14
04013040512,"Census Tract 405.12, Maricopa County, Arizona",hispanic,18,15
04013040513,"Census Tract 405.13, Maricopa County, Arizona",white,2925,183
04013040513,"Census Tract 405.13, Maricopa County, Arizona",black,9,13
04013040513,"Census Tract 405.13, Maricopa County, Arizona",native,0,12
04013040513,"Census Tract 405.13, Maricopa County, Arizona",asian,0,12
04013040513,"Census Tract 405.13, Maricopa County, Arizona",hispanic,9,15
04013040514,"Census Tract 405.14, Maricopa County, Arizona",white,2932,221
04013040514,"Census Tract 405.14, Maricopa County, Arizona",black,9,14
04013040514,"Census Tract 405.14, Maricopa County, Arizona",native,0,12
04013040514,"Census Tract 405.14, Maricopa County, Arizona",asian,69,56
04013040514,"Census Tract 405.14, Maricopa County, Arizona",hispanic,64,61
04013040515,"Census Tract 405.15, Maricopa County, Arizona",white,3261,384
04013040515,"Census Tract 405.15, Maricopa County, Arizona",black,0,12
04013040515,"Census Tract 405.15, Maricopa County, Arizona",native,57,72
04013040515,"Census Tract 405.15, Maricopa County, Arizona",asian,10,17
04013040515,"Census Tract 405.15, Maricopa County, Arizona",hispanic,1294,364
04013040516,"Census Tract 405.16, Maricopa County, Arizona",white,4278,441
04013040516,"Census Tract 405.16, Maricopa County, Arizona",black,35,40
04013040516,"Census Tract 405.16, Maricopa County, Arizona",native,8,13
04013040516,"Census Tract 405.16, Maricopa County, Arizona",asian,0,12
04013040516,"Census Tract 405.16, Maricopa County, Arizona",hispanic,387,190
04013040517,"Census Tract 405.17, Maricopa County, Arizona",white,5818,823
04013040517,"Census Tract 405.17, Maricopa County, Arizona",black,447,572
04013040517,"Census Tract 405.17, Maricopa County, Arizona",native,0,17
04013040517,"Census Tract 405.17, Maricopa County, Arizona",asian,102,139
04013040517,"Census Tract 405.17, Maricopa County, Arizona",hispanic,1064,344
04013040518,"Census Tract 405.18, Maricopa County, Arizona",white,5013,622
04013040518,"Census Tract 405.18, Maricopa County, Arizona",black,224,162
04013040518,"Census Tract 405.18, Maricopa County, Arizona",native,0,17
04013040518,"Census Tract 405.18, Maricopa County, Arizona",asian,274,266
04013040518,"Census Tract 405.18, Maricopa County, Arizona",hispanic,1466,674
04013040519,"Census Tract 405.19, Maricopa County, Arizona",white,4532,456
04013040519,"Census Tract 405.19, Maricopa County, Arizona",black,147,182
04013040519,"Census Tract 405.19, Maricopa County, Arizona",native,16,25
04013040519,"Census Tract 405.19, Maricopa County, Arizona",asian,89,72
04013040519,"Census Tract 405.19, Maricopa County, Arizona",hispanic,458,197
04013040520,"Census Tract 405.20, Maricopa County, Arizona",white,3978,348
04013040520,"Census Tract 405.20, Maricopa County, Arizona",black,127,105
04013040520,"Census Tract 405.20, Maricopa County, Arizona",native,23,27
04013040520,"Census Tract 405.20, Maricopa County, Arizona",asian,72,69
04013040520,"Census Tract 405.20, Maricopa County, Arizona",hispanic,601,156
04013040521,"Census Tract 405.21, Maricopa County, Arizona",white,5496,521
04013040521,"Census Tract 405.21, Maricopa County, Arizona",black,510,409
04013040521,"Census Tract 405.21, Maricopa County, Arizona",native,25,37
04013040521,"Census Tract 405.21, Maricopa County, Arizona",asian,379,283
04013040521,"Census Tract 405.21, Maricopa County, Arizona",hispanic,942,295
04013040522,"Census Tract 405.22, Maricopa County, Arizona",white,4178,331
04013040522,"Census Tract 405.22, Maricopa County, Arizona",black,29,47
04013040522,"Census Tract 405.22, Maricopa County, Arizona",native,0,12
04013040522,"Census Tract 405.22, Maricopa County, Arizona",asian,48,57
