GEOID,NAME,variable,estimate,moe
04013010101,"Census Tract 101.01, Maricopa County, Arizona",total_pop,250,NA
04013010101,"Census Tract 101.01, Maricopa County, Arizona",med_age,63,1.1
04013010101,"Census Tract 101.01, Maricopa County, Arizona",med_income,84427,14319
04013010102,"Census Tract 101.02, Maricopa County, Arizona",total_pop,250,NA
04013010102,"Census Tract 101.02, Maricopa County, Arizona",med_age,63.7,1.8
04013010102,"Census Tract 101.02, Maricopa County, Arizona",med_income,135278,24814
04013030401,"Census Tract 304.01, Maricopa County, Arizona",total_pop,200,NA
04013030401,"Census Tract 304.01, Maricopa County, Arizona",med_age,64.3,3.3
04013030401,"Census Tract 304.01, Maricopa County, Arizona",med_income,112176,22915
04013030402,"Census Tract 304.02, Maricopa County, Arizona",total_pop,350,NA
04013030402,"Census Tract 304.02, Maricopa County, Arizona",med_age,56.6,1.2
04013030402,"Census Tract 304.02, Maricopa County, Arizona",med_income,80117,11823
04013040502,"Census Tract 405.02, Maricopa County, Arizona",total_pop,250,NA
04013040502,"Census Tract 405.02, Maricopa County, Arizona",med_age,53.3,8
04013040502,"Census Tract 405.02, Maricopa County, Arizona",med_income,44320,7754
04013040506,"Census Tract 405.06, Maricopa County, Arizona",total_pop,300,NA
04013040506,"Census Tract 405.06, Maricopa County, Arizona",med_age,73.8,1.7
04013040506,"Census Tract 405.06, Maricopa County, Arizona",med_income,43221,6776
04013040507,"Census Tract 405.07, Maricopa County, Arizona",total_pop,400,NA
04013040507,"Census Tract 405.07, Maricopa County, Arizona",med_age,76.6,1.5
04013040507,"Census Tract 405.07, Maricopa County, Arizona",med_income,47775,6260
04013040512,"Census Tract 405.12, Maricopa County, Arizona",total_pop,300,NA
04013040512,"Census Tract 405.12, Maricopa County, Arizona",med_age,76.1,1
04013040512,"Census Tract 405.12, Maricopa County, Arizona",med_income,48586,4597
04013040513,"Census Tract 405.13, Maricopa County, Arizona",total_pop,300,NA
04013040513,"Census Tract 405.13, Maricopa County, Arizona",med_age,76,2.6
04013040513,"Census Tract 405.13, Maricopa County, Arizona",med_income,55768,5727
04013040514,"Census Tract 405.14, Maricopa County, Arizona",total_pop,300,NA
04013040514,"Census Tract 405.14, Maricopa County, Arizona",med_age,74.1,1.2
04013040514,"Census Tract 405.14, Maricopa County, Arizona",med_income,52076,9163
04013040515,"Census Tract 405.15, Maricopa County, Arizona",total_pop,450,NA
04013040515,"Census Tract 405.15, Maricopa County, Arizona",med_age,57.4,2.8
