GEOID,NAME,variable,estimate,moe
04013010101,"Census Tract 101.01, Maricopa County, Arizona",white,4785,639
04013010101,"Census Tract 101.01, Maricopa County, Arizona",black,0,18
04013010101,"Census Tract 101.01, Maricopa County, Arizona",native,0,18
04013010101,"Census Tract 101.01, Maricopa County, Arizona",asian,35,34
04013010101,"Census Tract 101.01, Maricopa County, Arizona",hispanic,163,173
04013010102,"Census Tract 101.02, Maricopa County, Arizona",white,4210,607
04013010102,"Census Tract 101.02, Maricopa County, Arizona",black,0,13
04013010102,"Census Tract 101.02, Maricopa County, Arizona",native,28,74
04013010102,"Census Tract 101.02, Maricopa County, Arizona",asian,76,78
04013010102,"Census Tract 101.02, Maricopa County, Arizona",hispanic,73,63
04013030401,"Census Tract 304.01, Maricopa County, Arizona",white,3500,415
04013030401,"Census Tract 304.01, Maricopa County, Arizona",black,0,13
04013030401,"Census Tract 304.01, Maricopa County, Arizona",native,0,13
04013030401,"Census Tract 304.01, Maricopa County, Arizona",asian,79,130
04013030401,"Census Tract 304.01, Maricopa County, Arizona",hispanic,68,56
04013030402,"Census Tract 304.02, Maricopa County, Arizona",white,3429,381
04013030402,"Census Tract 304.02, Maricopa County, Arizona",black,15,26
04013030402,"Census Tract 304.02, Maricopa County, Arizona",native,30,38
04013030402,"Census Tract 304.02, Maricopa County, Arizona",asian,87,137
04013030402,"Census Tract 304.02, Maricopa County, Arizona",hispanic,136,97
04013040502,"Census Tract 405.02, Maricopa County, Arizona",white,4242,495
04013040502,"Census Tract 405.02, Maricopa County, Arizona",black,71,114
04013040502,"Census Tract 405.02, Maricopa County, Arizona",native,28,31
04013040502,"Census Tract 405.02, Maricopa County, Arizona",asian,0,18
04013040502,"Census Tract 405.02, Maricopa County, Arizona",hispanic,735,445
04013040506,"Census Tract 405.06, Maricopa County, Arizona",white,5278,361
04013040506,"Census Tract 405.06, Maricopa County, Arizona",black,1,4
04013040506,"Census Tract 405.06, Maricopa County, Arizona",native,0,18
04013040506,"Census Tract 405.06, Maricopa County, Arizona",asian,0,18
04013040506,"Census Tract 405.06, Maricopa County, Arizona",hispanic,29,46
04013040507,"Census Tract 405.07, Maricopa County, Arizona",white,6186,450
04013040507,"Census Tract 405.07, Maricopa County, Arizona",black,26,28
04013040507,"Census Tract 405.07, Maricopa County, Arizona",native,13,21
04013040507,"Census Tract 405.07, Maricopa County, Arizona",asian,81,72
04013040507,"Census Tract 405.07, Maricopa County, Arizona",hispanic,65,72
04013040512,"Census Tract 405.12, Maricopa County, Arizona",white,1534,143
04013040512,"Census Tract 405.12, Maricopa County, Arizona",black,5,8
04013040512,"Census Tract 405.12, Maricopa County, Arizona",native,4,6
04013040512,"Census Tract 405.12, Maricopa County, Arizona",asian,9,12
04013040512,"Census Tract 405.12, Maricopa County, Arizona",hispanic,27,36
04013040513,"Census Tract 405.13, Maricopa County, Arizona",white,2933,284
04013040513,"Census Tract 405.13, Maricopa County, Arizona",black,37,43
04013040513,"Census Tract 405.13, Maricopa County, Arizona",native,0,13
04013040513,"Census Tract 405.13, Maricopa County, Arizona",asian,0,13
04013040513,"Census Tract 405.13, Maricopa County, Arizona",hispanic,0,13
04013040514,"Census Tract 405.14, Maricopa County, Arizona",white,2838,240
04013040514,"Census Tract 405.14, Maricopa County, Arizona",black,29,45
04013040514,"Census Tract 405.14, Maricopa County, Arizona",native,0,13
04013040514,"Census Tract 405.14, Maricopa County, Arizona",asian,20,32
04013040514,"Census Tract 405.14, Maricopa County, Arizona",hispanic,39,37
04013040515,"Census Tract 405.15, Maricopa County, Arizona",white,3160,549
04013040515,"Census Tract 405.15, Maricopa County, Arizona",black,22,52
04013040515,"Census Tract 405.15, Maricopa County, Arizona",native,16,16
04013040515,"Census Tract 405.15, Maricopa County, Arizona",asian,0,13
04013040515,"Census Tract 405.15, Maricopa County, Arizona",hispanic,1017,377
04013040516,"Census Tract 405.16, Maricopa County, Arizona",white,2395,324
04013040516,"Census Tract 405.16, Maricopa County, Arizona",black,12,18
04013040516,"Census Tract 405.16, Maricopa County, Arizona",native,41,52
04013040516,"Census Tract 405.16, Maricopa County, Arizona",asian,0,13
04013040516,"Census Tract 405.16, Maricopa County, Arizona",hispanic,219,140
04013040517,"Census Tract 405.17, Maricopa County, Arizona",white,4942,722
04013040517,"Census Tract 405.17, Maricopa County, Arizona",black,0,18
04013040517,"Census Tract 405.17, Maricopa County, Arizona",native,0,18
04013040517,"Census Tract 405.17, Maricopa County, Arizona",asian,35,52
04013040517,"Census Tract 405.17, Maricopa County, Arizona",hispanic,1598,766
04013040518,"Census Tract 405.18, Maricopa County, Arizona",white,4696,527
04013040518,"Census Tract 405.18, Maricopa County, Arizona",black,586,223
04013040518,"Census Tract 405.18, Maricopa County, Arizona",native,34,39
04013040518,"Census Tract 405.18, Maricopa County, Arizona",asian,77,71
04013040518,"Census Tract 405.18, Maricopa County, Arizona",hispanic,1739,772
04013040519,"Census Tract 405.19, Maricopa County, Arizona",white,3561,502
04013040519,"Census Tract 405.19, Maricopa County, Arizona",black,38,47
04013040519,"Census Tract 405.19, Maricopa County, Arizona",native,23,23
04013040519,"Census Tract 405.19, Maricopa County, Arizona",asian,52,53
04013040519,"Census Tract 405.19, Maricopa County, Arizona",hispanic,69,78
04013040520,"Census Tract 405.20, Maricopa County, Arizona",white,3038,741
04013040520,"Census Tract 405.20, Maricopa County, Arizona",black,60,82
04013040520,"Census Tract 405.20, Maricopa County, Arizona",native,0,13
04013040520,"Census Tract 405.20, Maricopa County, Arizona",asian,154,153
04013040520,"Census Tract 405.20, Maricopa County, Arizona",hispanic,836,582
04013040521,"Census Tract 405.21, Maricopa County, Arizona",white,3977,551
04013040521,"Census Tract 405.21, Maricopa County, Arizona",black,105,116
04013040521,"Census Tract 405.21, Maricopa County, Arizona",native,0,18
04013040521,"Census Tract 405.21, Maricopa County, Arizona",asian,591,614
04013040521,"Census Tract 405.21, Maricopa County, Arizona",hispanic,327,163
