GEOID,NAME,variable,estimate,moe
04013010101,"Census Tract 101.01, Maricopa County, Arizona",total_pop,264,NA
04013010101,"Census Tract 101.01, Maricopa County, Arizona",med_age,54,5.5
04013010101,"Census Tract 101.01, Maricopa County, Arizona",med_income,102458,16347
04013010102,"Census Tract 101.02, Maricopa County, Arizona",total_pop,187,NA
04013010102,"Census Tract 101.02, Maricopa County, Arizona",med_age,63.2,3
04013010102,"Census Tract 101.02, Maricopa County, Arizona",med_income,138495,21470
04013030401,"Census Tract 304.01, Maricopa County, Arizona",total_pop,157,NA
04013030401,"Census Tract 304.01, Maricopa County, Arizona",med_age,61.4,6.3
04013030401,"Census Tract 304.01, Maricopa County, Arizona",med_income,96354,15300
04013030402,"Census Tract 304.02, Maricopa County, Arizona",total_pop,238,NA
04013030402,"Census Tract 304.02, Maricopa County, Arizona",med_age,54.9,2.1
04013030402,"Census Tract 304.02, Maricopa County, Arizona",med_income,79306,11693
04013040502,"Census Tract 405.02, Maricopa County, Arizona",total_pop,270,NA
04013040502,"Census Tract 405.02, Maricopa County, Arizona",med_age,50.6,4.8
04013040502,"Census Tract 405.02, Maricopa County, Arizona",med_income,32199,6702
04013040506,"Census Tract 405.06, Maricopa County, Arizona",total_pop,331,NA
04013040506,"Census Tract 405.06, Maricopa County, Arizona",med_age,73.4,1.8
04013040506,"Census Tract 405.06, Maricopa County, Arizona",med_income,37292,3606
04013040507,"Census Tract 405.07, Maricopa County, Arizona",total_pop,378,NA
04013040507,"Census Tract 405.07, Maricopa County, Arizona",med_age,78.2,2.5
04013040507,"Census Tract 405.07, Maricopa County, Arizona",med_income,40315,4666
04013040512,"Census Tract 405.12, Maricopa County, Arizona",total_pop,207,NA
04013040512,"Census Tract 405.12, Maricopa County, Arizona",med_age,76.9,2.2
04013040512,"Census Tract 405.12, Maricopa County, Arizona",med_income,50217,9307
04013040513,"Census Tract 405.13, Maricopa County, Arizona",total_pop,256,NA
04013040513,"Census Tract 405.13, Maricopa County, Arizona",med_age,75.8,1.9
04013040513,"Census Tract 405.13, Maricopa County, Arizona",med_income,58000,6713
04013040514,"Census Tract 405.14, Maricopa County, Arizona",total_pop,253,NA
04013040514,"Census Tract 405.14, Maricopa County, Arizona",med_age,72.6,1.2
04013040514,"Census Tract 405.14, Maricopa County, Arizona",med_income,45000,5372
04013040515,"Census Tract 405.15, Maricopa County, Arizona",total_pop,367,NA
04013040515,"Census Tract 405.15, Maricopa County, Arizona",med_age,57.1,4.6
04013040515,"Census Tract 405.15, Maricopa County, Arizona",med_income,49673,4879
04013040516,"Census Tract 405.16, Maricopa County, Arizona",total_pop,251,NA
04013040516,"Census Tract 405.16, Maricopa County, Arizona",med_age,61.6,1.1
04013040516,"Census Tract 405.16, Maricopa County, Arizona",med_income,79643,14758
04013040517,"Census Tract 405.17, Maricopa County, Arizona",total_pop,393,NA
04013040517,"Census Tract 405.17, Maricopa County, Arizona",med_age,37.3,4.3
04013040517,"Census Tract 405.17, Maricopa County, Arizona",med_income,44000,7454
04013040518,"Census Tract 405.18, Maricopa County, Arizona",total_pop,367,NA
04013040518,"Census Tract 405.18, Maricopa County, Arizona",med_age,35.5,3.6
04013040518,"Census Tract 405.18, Maricopa County, Arizona",med_income,62055,5867
04013040519,"Census Tract 405.19, Maricopa County, Arizona",total_pop,314,NA
04013040519,"Census Tract 405.19, Maricopa County, Arizona",med_age,58.2,4
04013040519,"Census Tract 405.19, Maricopa County, Arizona",med_income,81113,8349
04013040520,"Census Tract 405.20, Maricopa County, Arizona",total_pop,295,NA
04013040520,"Census Tract 405.20, Maricopa County, Arizona",med_age,34.9,2.1
04013040520,"Census Tract 405.20, Maricopa County, Arizona",med_income,118203,17814
04013040521,"Census Tract 405.21, Maricopa County, Arizona",total_pop,355,NA
04013040521,"Census Tract 405.21, Maricopa County, Arizona",med_age,28.7,2.2
04013040521,"Census Tract 405.21, Maricopa County, Arizona",med_income,90365,10484
04013040522,"Census Tract 405.22, Maricopa County, Arizona",total_pop,234,NA
04013040522,"Census Tract 405.22, Maricopa County, Arizona",med_age,75.9,1
04013040522,"Census Tract 405.22, Maricopa County, Arizona",med_income,47311,8792
04013040523,"Census Tract 405.23, Maricopa County, Arizona",total_pop,244,NA
04013040523,"Census Tract 405.23, Maricopa County, Arizona",med_age,68.9,1.2
04013040523,"Census Tract 405.23, Maricopa County, Arizona",med_income,65609,4297
04013040524,"Census Tract 405.24, Maricopa County, Arizona",total_pop,175,NA
04013040524,"Census Tract 405.24, Maricopa County, Arizona",med_age,69.3,0.7
04013040524,"Census Tract 405.24, Maricopa County, Arizona",med_income,64813,10383
04013040525,"Census Tract 405.25, Maricopa County, Arizona",total_pop,278,NA
04013040525,"Census Tract 405.25, Maricopa County, Arizona",med_age,69.7,0.6
04013040525,"Census Tract 405.25, Maricopa County, Arizona",med_income,60214,5687
04013040526,"Census Tract 405.26, Maricopa County, Arizona",total_pop,174,NA
04013040526,"Census Tract 405.26, Maricopa County, Arizona",med_age,71.3,1.2
04013040526,"Census Tract 405.26, Maricopa County, Arizona",med_income,57255,5554
04013040527,"Census Tract 405.27, Maricopa County, Arizona",total_pop,247,NA
04013040527,"Census Tract 405.27, Maricopa County, Arizona",med_age,60.2,11.3
04013040527,"Census Tract 405.27, Maricopa County, Arizona",med_income,50603,11631
04013040528,"Census Tract 405.28, Maricopa County, Arizona",total_pop,360,NA
04013040528,"Census Tract 405.28, Maricopa County, Arizona",med_age,71.2,0.9
04013040528,"Census Tract 405.28, Maricopa County, Arizona",med_income,56423,6516
04013040529,"Census Tract 405.29, Maricopa County, Arizona",total_pop,258,NA
04013040529,"Census Tract 405.29, Maricopa County, Arizona",med_age,71,1
04013040529,"Census Tract 405.29, Maricopa County, Arizona",med_income,46973,4755
04013040530,"Census Tract 405.30, Maricopa County, Arizona",total_pop,273,NA
04013040530,"Census Tract 405.30, Maricopa County, Arizona",med_age,33.8,4.4
04013040530,"Census Tract 405.30, Maricopa County, Arizona",med_income,54646,7286
04013040531,"Census Tract 405.31, Maricopa County, Arizona",total_pop,229,NA
04013040531,"Census Tract 405.31, Maricopa County, Arizona",med_age,59.5,7.9
04013040531,"Census Tract 405.31, Maricopa County, Arizona",med_income,36190,6316
04013050603,"Census Tract 506.03, Maricopa County, Arizona",total_pop,310,NA
04013050603,"Census Tract 506.03, Maricopa County, Arizona",med_age,40,4.5
04013050603,"Census Tract 506.03, Maricopa County, Arizona",med_income,44479,12712
04013050604,"Census Tract 506.04, Maricopa County, Arizona",total_pop,266,NA
04013050604,"Census Tract 506.04, Maricopa County, Arizona",med_age,32.1,5.3
04013050604,"Census Tract 506.04, Maricopa County, Arizona",med_income,50027,18738
04013050605,"Census Tract 506.05, Maricopa County, Arizona",total_pop,565,NA
04013050605,"Census Tract 506.05, Maricopa County, Arizona",med_age,33.4,2.4
04013050605,"Census Tract 506.05, Maricopa County, Arizona",med_income,69846,8822
04013050606,"Census Tract 506.06, Maricopa County, Arizona",total_pop,303,NA
04013050606,"Census Tract 506.06, Maricopa County, Arizona",med_age,39.2,3.2
04013050606,"Census Tract 506.06, Maricopa County, Arizona",med_income,85560,19263
04013050607,"Census Tract 506.07, Maricopa County, Arizona",total_pop,485,NA
04013050607,"Census Tract 506.07, Maricopa County, Arizona",med_age,28.8,4.4
04013050607,"Census Tract 506.07, Maricopa County, Arizona",med_income,50735,8657
04013050608,"Census Tract 506.08, Maricopa County, Arizona",total_pop,330,NA
04013050608,"Census Tract 506.08, Maricopa County, Arizona",med_age,29.3,3.8
04013050608,"Census Tract 506.08, Maricopa County, Arizona",med_income,52688,10321
04013050609,"Census Tract 506.09, Maricopa County, Arizona",total_pop,312,NA
04013050609,"Census Tract 506.09, Maricopa County, Arizona",med_age,32,4.3
04013050609,"Census Tract 506.09, Maricopa County, Arizona",med_income,48248,5830
04013050610,"Census Tract 506.10, Maricopa County, Arizona",total_pop,367,NA
04013050610,"Census Tract 506.10, Maricopa County, Arizona",med_age,30.4,4.3
04013050610,"Census Tract 506.10, Maricopa County, Arizona",med_income,73250,16249
04013050611,"Census Tract 506.11, Maricopa County, Arizona",total_pop,247,NA
04013050611,"Census Tract 506.11, Maricopa County, Arizona",med_age,28.2,3.1
04013050611,"Census Tract 506.11, Maricopa County, Arizona",med_income,71452,15114
04013050701,"Census Tract 507.01, Maricopa County, Arizona",total_pop,371,NA
04013050701,"Census Tract 507.01, Maricopa County, Arizona",med_age,29.9,2.1
04013050701,"Census Tract 507.01, Maricopa County, Arizona",med_income,46795,7934
04013050702,"Census Tract 507.02, Maricopa County, Arizona",total_pop,350,NA
04013050702,"Census Tract 507.02, Maricopa County, Arizona",med_age,32.4,4.3
04013050702,"Census Tract 507.02, Maricopa County, Arizona",med_income,27685,5025
04013060801,"Census Tract 608.01, Maricopa County, Arizona",total_pop,402,NA
04013060801,"Census Tract 608.01, Maricopa County, Arizona",med_age,33.8,5.2
04013060801,"Census Tract 608.01, Maricopa County, Arizona",med_income,29666,3094
04013060802,"Census Tract 608.02, Maricopa County, Arizona",total_pop,228,NA
04013060802,"Census Tract 608.02, Maricopa County, Arizona",med_age,29.5,1.2
04013060802,"Census Tract 608.02, Maricopa County, Arizona",med_income,60273,8171
04013060901,"Census Tract 609.01, Maricopa County, Arizona",total_pop,258,NA
04013060901,"Census Tract 609.01, Maricopa County, Arizona",med_age,27.5,1.7
04013060901,"Census Tract 609.01, Maricopa County, Arizona",med_income,57314,5612
04013060902,"Census Tract 609.02, Maricopa County, Arizona",total_pop,215,NA
04013060902,"Census Tract 609.02, Maricopa County, Arizona",med_age,30.5,8.7
04013060902,"Census Tract 609.02, Maricopa County, Arizona",med_income,32109,4630
04013060903,"Census Tract 609.03, Maricopa County, Arizona",total_pop,307,NA
04013060903,"Census Tract 609.03, Maricopa County, Arizona",med_age,22.3,2.8
04013060903,"Census Tract 609.03, Maricopa County, Arizona",med_income,35571,4910
04013060904,"Census Tract 609.04, Maricopa County, Arizona",total_pop,275,NA
04013060904,"Census Tract 609.04, Maricopa County, Arizona",med_age,27.8,3.5
