GEOID,NAME,variable,estimate,moe
04013010101,"Census Tract 101.01, Maricopa County, Arizona",white,4134,566
04013010101,"Census Tract 101.01, Maricopa County, Arizona",black,0,13
04013010101,"Census Tract 101.01, Maricopa County, Arizona",native,0,13
04013010101,"Census Tract 101.01, Maricopa County, Arizona",asian,20,23
04013010101,"Census Tract 101.01, Maricopa County, Arizona",hispanic,158,164
04013010102,"Census Tract 101.02, Maricopa County, Arizona",white,4329,534
04013010102,"Census Tract 101.02, Maricopa County, Arizona",black,0,13
04013010102,"Census Tract 101.02, Maricopa County, Arizona",native,20,42
04013010102,"Census Tract 101.02, Maricopa County, Arizona",asian,64,67
04013010102,"Census Tract 101.02, Maricopa County, Arizona",hispanic,70,52
04013030401,"Census Tract 304.01, Maricopa County, Arizona",white,3584,436
04013030401,"Census Tract 304.01, Maricopa County, Arizona",black,0,13
04013030401,"Census Tract 304.01, Maricopa County, Arizona",native,0,13
04013030401,"Census Tract 304.01, Maricopa County, Arizona",asian,0,13
04013030401,"Census Tract 304.01, Maricopa County, Arizona",hispanic,31,46
04013030402,"Census Tract 304.02, Maricopa County, Arizona",white,2928,517
04013030402,"Census Tract 304.02, Maricopa County, Arizona",black,0,13
04013030402,"Census Tract 304.02, Maricopa County, Arizona",native,23,37
04013030402,"Census Tract 304.02, Maricopa County, Arizona",asian,89,125
04013030402,"Census Tract 304.02, Maricopa County, Arizona",hispanic,101,83
04013040502,"Census Tract 405.02, Maricopa County, Arizona",white,4493,438
04013040502,"Census Tract 405.02, Maricopa County, Arizona",black,66,107
04013040502,"Census Tract 405.02, Maricopa County, Arizona",native,37,43
04013040502,"Census Tract 405.02, Maricopa County, Arizona",asian,0,19
04013040502,"Census Tract 405.02, Maricopa County, Arizona",hispanic,500,281
04013040506,"Census Tract 405.06, Maricopa County, Arizona",white,5390,342
04013040506,"Census Tract 405.06, Maricopa County, Arizona",black,1,4
04013040506,"Census Tract 405.06, Maricopa County, Arizona",native,0,19
04013040506,"Census Tract 405.06, Maricopa County, Arizona",asian,0,19
04013040506,"Census Tract 405.06, Maricopa County, Arizona",hispanic,27,43
04013040507,"Census Tract 405.07, Maricopa County, Arizona",white,6296,349
04013040507,"Census Tract 405.07, Maricopa County, Arizona",black,21,45
04013040507,"Census Tract 405.07, Maricopa County, Arizona",native,27,31
04013040507,"Census Tract 405.07, Maricopa County, Arizona",asian,124,116
04013040507,"Census Tract 405.07, Maricopa County, Arizona",hispanic,72,75
04013040512,"Census Tract 405.12, Maricopa County, Arizona",white,1660,140
04013040512,"Census Tract 405.12, Maricopa County, Arizona",black,0,13
04013040512,"Census Tract 405.12, Maricopa County, Arizona",native,4,8
04013040512,"Census Tract 405.12, Maricopa County, Arizona",asian,5,8
04013040512,"Census Tract 405.12, Maricopa County, Arizona",hispanic,23,38
04013040513,"Census Tract 405.13, Maricopa County, Arizona",white,3023,251
04013040513,"Census Tract 405.13, Maricopa County, Arizona",black,35,42
04013040513,"Census Tract 405.13, Maricopa County, Arizona",native,0,13
04013040513,"Census Tract 405.13, Maricopa County, Arizona",asian,0,13
04013040513,"Census Tract 405.13, Maricopa County, Arizona",hispanic,0,13
04013040514,"Census Tract 405.14, Maricopa County, Arizona",white,2992,270
04013040514,"Census Tract 405.14, Maricopa County, Arizona",black,34,44
04013040514,"Census Tract 405.14, Maricopa County, Arizona",native,0,13
04013040514,"Census Tract 405.14, Maricopa County, Arizona",asian,21,24
