GEOID,NAME,variable,estimate,moe
04013010101,"Census Tract 101.01, Maricopa County, Arizona",white,4603,431
04013010101,"Census Tract 101.01, Maricopa County, Arizona",black,0,12
04013010101,"Census Tract 101.01, Maricopa County, Arizona",native,16,25
04013010101,"Census Tract 101.01, Maricopa County, Arizona",asian,0,12
04013010101,"Census Tract 101.01, Maricopa County, Arizona",hispanic,148,139
04013010102,"Census Tract 101.02, Maricopa County, Arizona",white,4729,631
04013010102,"Census Tract 101.02, Maricopa County, Arizona",black,24,34
04013010102,"Census Tract 101.02, Maricopa County, Arizona",native,0,17
04013010102,"Census Tract 101.02, Maricopa County, Arizona",asian,274,327
04013010102,"Census Tract 101.02, Maricopa County, Arizona",hispanic,39,36
04013030401,"Census Tract 304.01, Maricopa County, Arizona",white,4757,324
04013030401,"Census Tract 304.01, Maricopa County, Arizona",black,0,17
04013030401,"Census Tract 304.01, Maricopa County, Arizona",native,5,8
04013030401,"Census Tract 304.01, Maricopa County, Arizona",asian,56,78
04013030401,"Census Tract 304.01, Maricopa County, Arizona",hispanic,188,179
04013030402,"Census Tract 304.02, Maricopa County, Arizona",white,4132,310
04013030402,"Census Tract 304.02, Maricopa County, Arizona",black,0,12
04013030402,"Census Tract 304.02, Maricopa County, Arizona",native,60,73
04013030402,"Census Tract 304.02, Maricopa County, Arizona",asian,0,12
04013030402,"Census Tract 304.02, Maricopa County, Arizona",hispanic,152,124
04013040502,"Census Tract 405.02, Maricopa County, Arizona",white,3859,648
04013040502,"Census Tract 405.02, Maricopa County, Arizona",black,0,17
04013040502,"Census Tract 405.02, Maricopa County, Arizona",native,407,610
04013040502,"Census Tract 405.02, Maricopa County, Arizona",asian,4,9
04013040502,"Census Tract 405.02, Maricopa County, Arizona",hispanic,827,517
04013040506,"Census Tract 405.06, Maricopa County, Arizona",white,5668,469
04013040506,"Census Tract 405.06, Maricopa County, Arizona",black,28,43
04013040506,"Census Tract 405.06, Maricopa County, Arizona",native,0,17
04013040506,"Census Tract 405.06, Maricopa County, Arizona",asian,0,17
