GEOID,NAME,variable,estimate,moe
04013010101,"Census Tract 101.01, Maricopa County, Arizona",total_pop,257,NA
04013010101,"Census Tract 101.01, Maricopa County, Arizona",med_age,58.2,5
04013010101,"Census Tract 101.01, Maricopa County, Arizona",med_income,94110,19920
04013010102,"Census Tract 101.02, Maricopa County, Arizona",total_pop,237,NA
04013010102,"Census Tract 101.02, Maricopa County, Arizona",med_age,64.2,1.8
04013010102,"Census Tract 101.02, Maricopa County, Arizona",med_income,133320,17327
04013030401,"Census Tract 304.01, Maricopa County, Arizona",total_pop,184,NA
04013030401,"Census Tract 304.01, Maricopa County, Arizona",med_age,64.7,3.2
04013030401,"Census Tract 304.01, Maricopa County, Arizona",med_income,100053,12412
04013030402,"Census Tract 304.02, Maricopa County, Arizona",total_pop,306,NA
04013030402,"Census Tract 304.02, Maricopa County, Arizona",med_age,56.2,2.1
04013030402,"Census Tract 304.02, Maricopa County, Arizona",med_income,79978,7735
04013040502,"Census Tract 405.02, Maricopa County, Arizona",total_pop,292,NA
04013040502,"Census Tract 405.02, Maricopa County, Arizona",med_age,55.8,5.5
04013040502,"Census Tract 405.02, Maricopa County, Arizona",med_income,37555,6168
04013040506,"Census Tract 405.06, Maricopa County, Arizona",total_pop,326,NA
04013040506,"Census Tract 405.06, Maricopa County, Arizona",med_age,72.9,2.1
04013040506,"Census Tract 405.06, Maricopa County, Arizona",med_income,37472,4598
04013040507,"Census Tract 405.07, Maricopa County, Arizona",total_pop,381,NA
04013040507,"Census Tract 405.07, Maricopa County, Arizona",med_age,77,2.2
04013040507,"Census Tract 405.07, Maricopa County, Arizona",med_income,36943,7618
04013040512,"Census Tract 405.12, Maricopa County, Arizona",total_pop,291,NA
04013040512,"Census Tract 405.12, Maricopa County, Arizona",med_age,77,1
04013040512,"Census Tract 405.12, Maricopa County, Arizona",med_income,45201,2874
04013040513,"Census Tract 405.13, Maricopa County, Arizona",total_pop,315,NA
04013040513,"Census Tract 405.13, Maricopa County, Arizona",med_age,75.3,1.8
04013040513,"Census Tract 405.13, Maricopa County, Arizona",med_income,58500,6407
04013040514,"Census Tract 405.14, Maricopa County, Arizona",total_pop,313,NA
04013040514,"Census Tract 405.14, Maricopa County, Arizona",med_age,73.5,1.8
04013040514,"Census Tract 405.14, Maricopa County, Arizona",med_income,43961,3350
04013040515,"Census Tract 405.15, Maricopa County, Arizona",total_pop,457,NA
04013040515,"Census Tract 405.15, Maricopa County, Arizona",med_age,55.3,3.4
04013040515,"Census Tract 405.15, Maricopa County, Arizona",med_income,51731,5507
04013040516,"Census Tract 405.16, Maricopa County, Arizona",total_pop,385,NA
04013040516,"Census Tract 405.16, Maricopa County, Arizona",med_age,60.8,2.5
04013040516,"Census Tract 405.16, Maricopa County, Arizona",med_income,65887,11148
04013040517,"Census Tract 405.17, Maricopa County, Arizona",total_pop,428,NA
04013040517,"Census Tract 405.17, Maricopa County, Arizona",med_age,39.7,4.6
04013040517,"Census Tract 405.17, Maricopa County, Arizona",med_income,55200,9042
04013040518,"Census Tract 405.18, Maricopa County, Arizona",total_pop,350,NA
04013040518,"Census Tract 405.18, Maricopa County, Arizona",med_age,37.7,4.5
04013040518,"Census Tract 405.18, Maricopa County, Arizona",med_income,66800,6823
04013040519,"Census Tract 405.19, Maricopa County, Arizona",total_pop,453,NA
04013040519,"Census Tract 405.19, Maricopa County, Arizona",med_age,59.5,2.7
04013040519,"Census Tract 405.19, Maricopa County, Arizona",med_income,86463,3790
04013040520,"Census Tract 405.20, Maricopa County, Arizona",total_pop,444,NA
04013040520,"Census Tract 405.20, Maricopa County, Arizona",med_age,37.4,2
04013040520,"Census Tract 405.20, Maricopa County, Arizona",med_income,114583,14840
