PRECINCT_NAME,CONTEST_FULL_NAME,CANDIDATE_FULL_NAME_REP,CANDIDATE_FULL_NAME_DEM,CONTEST_TOTAL,TOTAL_REP,TOTAL_DEM,TOTAL_PCT_REP,TOTAL_PCT_DEM,MARGIN,MARGIN_PCT,WINNER,WINNING_PARTY
001 ACACIA,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - JETTE, MATT",2126,1058,873,0.49764816556914393,0.41063029162746945,185,0.08701787394167448,"REP - SCHWEIKERT, DAVID",REP
002 ACOMA,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",2025,1426,572,0.7041975308641976,0.28246913580246913,854,0.42172839506172843,"REP - FRANKS, TRENT",REP
003 ACUNA,US Rep Dst 7,NA,"DEM - PASTOR, ED",1231,NA,1118,NA,0.9082047116165719,1010,0.8204711616571893,"DEM - PASTOR, ED",DEM
004 ADOBE,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - JETTE, MATT",1331,808,423,0.6070623591284748,0.3178061607813674,385,0.2892561983471074,"REP - SCHWEIKERT, DAVID",REP
005 AGUA FRIA,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",996,654,323,0.6566265060240963,0.32429718875502006,331,0.3323293172690763,"REP - FRANKS, TRENT",REP
006 AGUILA,US Rep Dst 4,"REP - GOSAR, PAUL","DEM - ROBINSON, JOHNNIE",248,176,60,0.7096774193548387,0.24193548387096775,116,0.467741935483871,"REP - GOSAR, PAUL",REP
007 AHWATUKEE,US Rep Dst 9,"REP - PARKER, VERNON B.","DEM - SINEMA, KYRSTEN",2730,1323,1226,0.4846153846153846,0.4490842490842491,97,0.035531135531135516,"REP - PARKER, VERNON B.",REP
008 AIRLINE CANAL,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",1202,590,592,0.4908485856905158,0.4925124792013311,2,0.0016638935108153063,"DEM - SCHARER, GENE",DEM
009 ALAMO,US Rep Dst 9,"REP - PARKER, VERNON B.","DEM - SINEMA, KYRSTEN",1958,849,943,0.43360572012257403,0.4816138917262513,94,0.04800817160367726,"DEM - SINEMA, KYRSTEN",DEM
010 ALEXANDER,US Rep Dst 9,"REP - PARKER, VERNON B.","DEM - SINEMA, KYRSTEN",3855,2003,1693,0.5195849546044099,0.4391699092088197,310,0.08041504539559019,"REP - PARKER, VERNON B.",REP
011 ALHAMBRA,US Rep Dst 7,NA,"DEM - PASTOR, ED",396,NA,318,NA,0.803030303030303,241,0.6085858585858586,"DEM - PASTOR, ED",DEM
012 ALPACA,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",1368,891,467,0.6513157894736842,0.34137426900584794,424,0.30994152046783624,"REP - FRANKS, TRENT",REP
013 ALSUP,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",386,242,137,0.6269430051813472,0.3549222797927461,105,0.27202072538860106,"REP - FRANKS, TRENT",REP
014 ALTADENA,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",1007,708,285,0.7030784508440914,0.2830188679245283,423,0.4200595829195631,"REP - FRANKS, TRENT",REP
015 ALVARADO,US Rep Dst 3,"REP - SAUCEDO MERCER, GABRIELA","DEM - GRIJALVA, RAÚL M.",887,354,495,0.399098083427283,0.5580608793686584,141,0.15896279594137547,"DEM - GRIJALVA, RAÚL M.",DEM
016 AMBER,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - JETTE, MATT",1175,653,447,0.5557446808510639,0.38042553191489364,206,0.17531914893617023,"REP - SCHWEIKERT, DAVID",REP
017 ANDERSON,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - JETTE, MATT",1180,630,467,0.5338983050847458,0.39576271186440676,163,0.13813559322033903,"REP - SCHWEIKERT, DAVID",REP
018 ANDORA,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - JETTE, MATT",1462,748,587,0.5116279069767442,0.4015047879616963,161,0.1101231190150479,"REP - SCHWEIKERT, DAVID",REP
019 ANGELA,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",2867,1852,972,0.6459713986745728,0.33903034530868503,880,0.30694105336588773,"REP - FRANKS, TRENT",REP
020 ANNETTE,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - JETTE, MATT",2049,1175,738,0.5734504636408004,0.3601756954612006,437,0.21327476817959984,"REP - SCHWEIKERT, DAVID",REP
021 APACHE,US Rep Dst 5,"REP - SALMON, MATT","DEM - MORGAN, SPENCER",2046,1290,753,0.6304985337243402,0.3680351906158358,537,0.2624633431085044,"REP - SALMON, MATT",REP
022 APACHE PARK,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",1342,888,429,0.6616989567809239,0.319672131147541,459,0.34202682563338294,"REP - FRANKS, TRENT",REP
