PRECINCT_NAME,CONTEST_FULL_NAME,CANDIDATE_FULL_NAME_REP,CANDIDATE_FULL_NAME_DEM,CONTEST_TOTAL,TOTAL_REP,TOTAL_DEM,TOTAL_PCT_REP,TOTAL_PCT_DEM,MARGIN,MARGIN_PCT,WINNER,WINNING_PARTY
0001 ACACIA,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",1303,736,562,0.564850345,0.431312356,174,0.133537989,"REP - SCHWEIKERT, DAVID",REP
0002 ACOMA,US Rep Dst 8,"REP - FRANKS, TRENT",NA,1316,1028,NA,0.781155015,NA,745,0.566109422,"REP - FRANKS, TRENT",REP
0003 ACUNA,US Rep Dst 7,NA,"DEM - GALLEGO, RUBEN",667,NA,546,NA,0.818590705,495,0.742128936,"DEM - GALLEGO, RUBEN",DEM
0004 ADOBE,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",717,475,241,0.662482566,0.336122734,234,0.326359833,"REP - SCHWEIKERT, DAVID",REP
0005 AGUA FRIA,US Rep Dst 8,"REP - FRANKS, TRENT",NA,719,553,NA,0.769123783,NA,392,0.545201669,"REP - FRANKS, TRENT",REP
0006 AGUILA,US Rep Dst 4,"REP - GOSAR, PAUL","DEM - WEISSER, MIKE",177,136,32,0.768361582,0.18079096,104,0.587570621,"REP - GOSAR, PAUL",REP
0007 AHWATUKEE,US Rep Dst 9,"REP - ROGERS, WENDY","DEM - SINEMA, KYRSTEN",2050,897,1088,0.437560976,0.530731707,191,0.093170732,"DEM - SINEMA, KYRSTEN",DEM
0008 AIRLINE CANAL,US Rep Dst 8,"REP - FRANKS, TRENT",NA,583,391,NA,0.670668954,NA,207,0.355060034,"REP - FRANKS, TRENT",REP
0009 ALAMO,US Rep Dst 9,"REP - ROGERS, WENDY","DEM - SINEMA, KYRSTEN",1080,454,574,0.42037037,0.531481481,120,0.111111111,"DEM - SINEMA, KYRSTEN",DEM
0010 ALEXANDER,US Rep Dst 9,"REP - ROGERS, WENDY","DEM - SINEMA, KYRSTEN",2909,1274,1583,0.437951186,0.544173255,309,0.106222069,"DEM - SINEMA, KYRSTEN",DEM
0011 ALHAMBRA,US Rep Dst 7,NA,"DEM - GALLEGO, RUBEN",244,NA,172,NA,0.704918033,133,0.545081967,"DEM - GALLEGO, RUBEN",DEM
0012 ALPACA,US Rep Dst 8,"REP - FRANKS, TRENT",NA,1095,848,NA,0.774429224,NA,606,0.553424658,"REP - FRANKS, TRENT",REP
0013 ALSUP,US Rep Dst 8,"REP - FRANKS, TRENT",NA,214,155,NA,0.724299065,NA,96,0.448598131,"REP - FRANKS, TRENT",REP
0014 ALTADENA,US Rep Dst 8,"REP - FRANKS, TRENT",NA,629,486,NA,0.772655008,NA,345,0.548489666,"REP - FRANKS, TRENT",REP
0015 ALVARADO,US Rep Dst 3,"REP - SAUCEDO MERCER, GABBY","DEM - GRIJALVA, RAUL",420,211,209,0.502380952,0.497619048,2,0.004761905,"REP - SAUCEDO MERCER, GABBY",REP
0016 AMBER,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",833,484,348,0.581032413,0.417767107,136,0.163265306,"REP - SCHWEIKERT, DAVID",REP
0017 ANDERSON,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",813,466,345,0.573185732,0.424354244,121,0.148831488,"REP - SCHWEIKERT, DAVID",REP
0018 ANDORA,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",873,500,372,0.572737686,0.426116838,128,0.146620848,"REP - SCHWEIKERT, DAVID",REP
0019 ANGELA,US Rep Dst 8,"REP - FRANKS, TRENT",NA,1708,1304,NA,0.763466042,NA,910,0.532786885,"REP - FRANKS, TRENT",REP
0020 ANNETTE,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",1333,840,489,0.630157539,0.36684171,351,0.263315829,"REP - SCHWEIKERT, DAVID",REP
0021 APACHE,US Rep Dst 5,"REP - SALMON, MATT","DEM - WOODS, JAMES",1331,878,450,0.659654395,0.33809166,428,0.321562735,"REP - SALMON, MATT",REP
0022 APACHE PARK,US Rep Dst 8,"REP - FRANKS, TRENT",NA,825,646,NA,0.783030303,NA,470,0.56969697,"REP - FRANKS, TRENT",REP
0023 APACHE WELLS,US Rep Dst 5,"REP - SALMON, MATT","DEM - WOODS, JAMES",2269,1548,712,0.682238872,0.313794623,836,0.368444249,"REP - SALMON, MATT",REP
0024 APPLEBY,US Rep Dst 5,"REP - SALMON, MATT","DEM - WOODS, JAMES",1623,1077,545,0.663585952,0.335797905,532,0.327788047,"REP - SALMON, MATT",REP
