PRECINCT_NAME,CONTEST_FULL_NAME,CANDIDATE_FULL_NAME_REP,CANDIDATE_FULL_NAME_DEM,CONTEST_TOTAL,TOTAL_REP,TOTAL_DEM,TOTAL_PCT_REP,TOTAL_PCT_DEM,MARGIN,MARGIN_PCT,WINNER,WINNING_PARTY
0412 MCDOWELL,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1186,219,934,0.18465430016863407,0.7875210792580101,715,0.602866779089376,"DEM - GARCIA, DAVID",DEM
0413 SUPAI,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2008,921,1042,0.4586653386454183,0.5189243027888446,121,0.0602589641434263,"DEM - GARCIA, DAVID",DEM
0414 MCKEMY,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2175,1074,1062,0.49379310344827587,0.4882758620689655,12,0.005517241379310367,"REP - DUCEY, DOUG",REP
0415 MCQUEEN,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",5286,3362,1814,0.6360196746121831,0.34317063942489595,1548,0.29284903518728717,"REP - DUCEY, DOUG",REP
0416 MEGAN,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3725,2195,1471,0.5892617449664429,0.39489932885906043,724,0.19436241610738247,"REP - DUCEY, DOUG",REP
0417 MESA GRAND,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",841,541,277,0.643281807372176,0.32936979785969084,264,0.31391200951248516,"REP - DUCEY, DOUG",REP
0418 MESA LINDA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1305,688,578,0.5272030651340996,0.442911877394636,110,0.08429118773946365,"REP - DUCEY, DOUG",REP
0419 MESA VISTA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2216,1270,899,0.5731046931407943,0.4056859205776173,371,0.16741877256317694,"REP - DUCEY, DOUG",REP
0420 MESQUITE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3923,2542,1280,0.6479734896762681,0.3262809074687739,1262,0.3216925822074942,"REP - DUCEY, DOUG",REP
0421 METRO,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",946,407,492,0.43023255813953487,0.5200845665961945,85,0.08985200845665964,"DEM - GARCIA, DAVID",DEM
0422 MICHELLE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",936,598,317,0.6388888888888888,0.3386752136752137,281,0.30021367521367515,"REP - DUCEY, DOUG",REP
0423 MIMOSA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2751,1993,686,0.7244638313340603,0.24936386768447838,1307,0.47509996364958196,"REP - DUCEY, DOUG",REP
0424 MINNEZONA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",690,167,486,0.24202898550724639,0.7043478260869566,319,0.4623188405797102,"DEM - GARCIA, DAVID",DEM
0425 MIRADA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3242,1754,1437,0.541024059222702,0.4432449105490438,317,0.09777914867365822,"REP - DUCEY, DOUG",REP
0426 MISSION,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2264,1118,1064,0.49381625441696114,0.46996466431095407,54,0.02385159010600707,"REP - DUCEY, DOUG",REP
0427 MITCHELL PARK,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1447,315,1093,0.21769177608845888,0.7553559087767795,778,0.5376641326883206,"DEM - GARCIA, DAVID",DEM
0428 MOBILE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",33,25,7,0.7575757575757576,0.21212121212121213,18,0.5454545454545454,"REP - DUCEY, DOUG",REP
0429 MOHAVE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2467,1363,1051,0.5524929063640048,0.42602351033644104,312,0.1264693960275638,"REP - DUCEY, DOUG",REP
0430 MOHAWK,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1268,830,405,0.6545741324921136,0.3194006309148265,425,0.3351735015772871,"REP - DUCEY, DOUG",REP
0431 MONROE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1456,393,1019,0.2699175824175824,0.6998626373626373,626,0.4299450549450549,"DEM - GARCIA, DAVID",DEM
0432 MONTE CRISTO,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3279,1836,1379,0.5599268069533394,0.4205550472705093,457,0.1393717596828301,"REP - DUCEY, DOUG",REP
0433 MONTE VISTA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",755,190,546,0.25165562913907286,0.7231788079470198,356,0.471523178807947,"DEM - GARCIA, DAVID",DEM
0434 MONTEBELLO,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",811,279,499,0.344019728729963,0.6152897657213316,220,0.27127003699136865,"DEM - GARCIA, DAVID",DEM
