PRECINCT_NAME,CONTEST_FULL_NAME,CANDIDATE_FULL_NAME_REP,CANDIDATE_FULL_NAME_DEM,CONTEST_TOTAL,TOTAL_REP,TOTAL_DEM,TOTAL_PCT_REP,TOTAL_PCT_DEM,MARGIN,MARGIN_PCT,WINNER,WINNING_PARTY
001 ACACIA,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - JETTE, MATT",2126,1058,873,0.497648166,0.410630292,185,0.087017874,"REP - SCHWEIKERT, DAVID",REP
002 ACOMA,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",2025,1426,572,0.704197531,0.282469136,854,0.421728395,"REP - FRANKS, TRENT",REP
003 ACUNA,US Rep Dst 7,NA,"DEM - PASTOR, ED",1231,NA,1118,NA,0.908204712,1010,0.820471162,"DEM - PASTOR, ED",DEM
004 ADOBE,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - JETTE, MATT",1331,808,423,0.607062359,0.317806161,385,0.289256198,"REP - SCHWEIKERT, DAVID",REP
005 AGUA FRIA,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",996,654,323,0.656626506,0.324297189,331,0.332329317,"REP - FRANKS, TRENT",REP
006 AGUILA,US Rep Dst 4,"REP - GOSAR, PAUL","DEM - ROBINSON, JOHNNIE",248,176,60,0.709677419,0.241935484,116,0.467741935,"REP - GOSAR, PAUL",REP
007 AHWATUKEE,US Rep Dst 9,"REP - PARKER, VERNON B.","DEM - SINEMA, KYRSTEN",2730,1323,1226,0.484615385,0.449084249,97,0.035531136,"REP - PARKER, VERNON B.",REP
008 AIRLINE CANAL,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",1202,590,592,0.490848586,0.492512479,2,0.001663894,"DEM - SCHARER, GENE",DEM
009 ALAMO,US Rep Dst 9,"REP - PARKER, VERNON B.","DEM - SINEMA, KYRSTEN",1958,849,943,0.43360572,0.481613892,94,0.048008172,"DEM - SINEMA, KYRSTEN",DEM
010 ALEXANDER,US Rep Dst 9,"REP - PARKER, VERNON B.","DEM - SINEMA, KYRSTEN",3855,2003,1693,0.519584955,0.439169909,310,0.080415045,"REP - PARKER, VERNON B.",REP
011 ALHAMBRA,US Rep Dst 7,NA,"DEM - PASTOR, ED",396,NA,318,NA,0.803030303,241,0.608585859,"DEM - PASTOR, ED",DEM
012 ALPACA,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",1368,891,467,0.651315789,0.341374269,424,0.30994152,"REP - FRANKS, TRENT",REP
013 ALSUP,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",386,242,137,0.626943005,0.35492228,105,0.272020725,"REP - FRANKS, TRENT",REP
014 ALTADENA,US Rep Dst 8,"REP - FRANKS, TRENT","DEM - SCHARER, GENE",1007,708,285,0.703078451,0.283018868,423,0.420059583,"REP - FRANKS, TRENT",REP
015 ALVARADO,US Rep Dst 3,"REP - SAUCEDO MERCER, GABRIELA","DEM - GRIJALVA, RAÚL M.",887,354,495,0.399098083,0.558060879,141,0.158962796,"DEM - GRIJALVA, RAÚL M.",DEM
016 AMBER,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - JETTE, MATT",1175,653,447,0.555744681,0.380425532,206,0.175319149,"REP - SCHWEIKERT, DAVID",REP
017 ANDERSON,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - JETTE, MATT",1180,630,467,0.533898305,0.395762712,163,0.138135593,"REP - SCHWEIKERT, DAVID",REP
018 ANDORA,US Rep Dst 6,"REP - SCHWEIKERT, DAVID","DEM - JETTE, MATT",1462,748,587,0.511627907,0.401504788,161,0.110123119,"REP - SCHWEIKERT, DAVID",REP
